"Timestamp","Unit","Maximum"
2018-08-01T08:00:00+00:00,Percent,22.1884625245029
2018-08-01T08:05:00+00:00,Percent,22.0441624182921
2018-08-01T08:10:00+00:00,Percent,22.002826347258
2018-08-01T08:15:00+00:00,Percent,21.9238232434232
2018-08-01T08:20:00+00:00,Percent,22.1279299926388
2018-08-01T08:25:00+00:00,Percent,21.9692440890375
2018-08-01T08:30:00+00:00,Percent,22.0335578419588
2018-08-01T08:35:00+00:00,Percent,22.3229565321254
2018-08-01T08:40:00+00:00,Percent,22.1199518141777
2018-08-01T08:45:00+00:00,Percent,21.9788456189473
2018-08-01T08:50:00+00:00,Percent,22.073560917088
2018-08-01T08:55:00+00:00,Percent,22.0951924050909
2018-08-01T09:00:00+00:00,Percent,22.2057584763197
2018-08-01T09:05:00+00:00,Percent,22.2144493456607
2018-08-01T09:10:00+00:00,Percent,22.0149354932266
2018-08-01T09:15:00+00:00,Percent,22.1903696325056
2018-08-01T09:20:00+00:00,Percent,22.0865675256461
2018-08-01T09:25:00+00:00,Percent,22.2574615600605
2018-08-01T09:30:00+00:00,Percent,22.1619147892266
2018-08-01T09:35:00+00:00,Percent,22.0992573827021
2018-08-01T09:40:00+00:00,Percent,22.0490192746589
2018-08-01T09:45:00+00:00,Percent,22.2059102530812
2018-08-01T09:50:00+00:00,Percent,22.0906654982056
2018-08-01T09:55:00+00:00,Percent,21.8412632841786
2018-08-01T10:00:00+00:00,Percent,21.8849947884479
2018-08-01T10:05:00+00:00,Percent,21.8410521165104
2018-08-01T10:10:00+00:00,Percent,21.6290463767093
2018-08-01T10:15:00+00:00,Percent,21.7454591527491
2018-08-01T10:20:00+00:00,Percent,21.607084939225
2018-08-01T10:25:00+00:00,Percent,21.3853654866903
2018-08-01T10:30:00+00:00,Percent,21.5057376565074
2018-08-01T10:35:00+00:00,Percent,21.3875893461952
2018-08-01T10:40:00+00:00,Percent,21.4405066440277
2018-08-01T10:45:00+00:00,Percent,21.5020686182739
2018-08-01T10:50:00+00:00,Percent,21.6315935867059
2018-08-01T10:55:00+00:00,Percent,21.5088061866848
2018-08-01T11:00:00+00:00,Percent,21.5752844082043
2018-08-01T11:05:00+00:00,Percent,21.6750479334109
2018-08-01T11:10:00+00:00,Percent,21.6674524963483
2018-08-01T11:15:00+00:00,Percent,21.4792955050652
2018-08-01T11:20:00+00:00,Percent,21.3164588369875
2018-08-01T11:25:00+00:00,Percent,21.1712810651561
2018-08-01T11:30:00+00:00,Percent,21.0057916032476
2018-08-01T11:35:00+00:00,Percent,20.8200102482309
2018-08-01T11:40:00+00:00,Percent,20.7872924576518
2018-08-01T11:45:00+00:00,Percent,20.7790173246574
2018-08-01T11:50:00+00:00,Percent,20.7735005693278
2018-08-01T11:55:00+00:00,Percent,20.772840670365
2018-08-01T12:00:00+00:00,Percent,20.8066406952431
2018-08-01T12:05:00+00:00,Percent,20.7906513433728
2018-08-01T12:10:00+00:00,Percent,20.7798290003818
2018-08-01T12:15:00+00:00,Percent,20.785352354701
2018-08-01T12:20:00+00:00,Percent,20.7718640198999
2018-08-01T12:25:00+00:00,Percent,20.7745960016062
2018-08-01T12:30:00+00:00,Percent,20.783326464885
2018-08-01T12:35:00+00:00,Percent,20.7753614844031
2018-08-01T12:40:00+00:00,Percent,20.7873056556311
2018-08-01T12:45:00+00:00,Percent,20.7801061579462
2018-08-01T12:50:00+00:00,Percent,20.7745234127203
2018-08-01T12:55:00+00:00,Percent,20.7747741743262
2018-08-01T13:00:00+00:00,Percent,20.7815975296022
2018-08-01T13:05:00+00:00,Percent,20.7708543744867
2018-08-01T13:10:00+00:00,Percent,20.7796442286721
